country,sndi_0,sndi_1,sndi_2,sndi_3,sndi_stock
Puerto Rico,4.9,7.7,8.9,9.4,6.5
Virgin Islands (U.S.),4.9,7.8,8.1,8.5,7.3
Trinidad and Tobago,6.1,,7.4,8.5,6.2
Ireland,5.0,6.4,7.7,7.6,5.9
Barbados,6.1,,7.2,7.6,6.4
Gabon,5.5,5.8,5.8,7.2,5.9
Liberia,6.2,7.8,7.6,7.1,6.9
Panama,3.2,4.7,6.1,6.8,4.6
Montenegro,3.4,5.0,5.9,6.7,4.4
Lebanon,2.1,5.5,6.3,6.7,3.9
Jamaica,5.2,6.3,6.3,6.7,5.6
Papua New Guinea,6.0,5.5,7.1,6.6,6.5
Kosovo,5.5,6.8,7.1,6.6,6.4
Cyprus,2.8,4.0,5.6,6.5,4.2
Brunei Darussalam,6.1,7.4,6.9,6.5,6.7
Guatemala,3.2,4.7,6.1,6.5,4.6
"Bahamas, The",4.8,4.5,6.2,6.3,4.8
Thailand,4.0,4.7,4.8,6.3,4.9
Sierra Leone,4.5,6.6,6.0,6.2,5.7
Philippines,4.5,5.3,5.6,6.1,5.4
"Macedonia, FYR",4.0,4.7,5.3,6.1,4.6
Norway,4.0,4.8,5.7,6.1,4.6
Madagascar,4.1,4.6,7.3,6.0,5.3
Sri Lanka,3.8,5.9,5.4,5.9,5.5
"Korea, Dem. People's Rep.",5.2,6.1,5.1,5.8,5.4
Indonesia,5.3,4.4,5.3,5.8,5.1
Serbia,3.1,4.4,5.3,5.8,3.8
Bosnia and Herzegovina,3.9,5.3,4.9,5.7,4.8
Malaysia,4.5,5.6,5.2,5.7,4.9
United States,2.9,4.6,6.2,5.7,3.9
Costa Rica,4.4,5.1,5.1,5.7,4.7
Albania,4.7,4.6,5.4,5.7,4.9
El Salvador,3.4,4.3,5.1,5.7,4.3
West Bank and Gaza,2.9,4.4,5.2,5.4,4.5
Ghana,3.7,4.5,5.0,5.2,4.6
New Zealand,3.7,,5.6,5.2,4.0
Slovenia,4.2,5.5,5.5,5.1,4.5
"Venezuela, RB",3.3,,4.1,5.1,3.4
Bangladesh,4.2,5.1,5.1,5.1,5.3
Libya,1.7,2.4,4.1,5.1,2.3
Guinea,2.5,3.6,4.1,5.0,4.0
Cameroon,3.7,3.7,5.0,5.0,4.5
"Congo, Rep.",2.0,2.7,3.8,4.9,2.7
Ukraine,2.6,3.3,4.3,4.9,3.4
Honduras,2.3,3.3,3.8,4.9,3.4
Slovak Republic,2.8,4.2,5.1,4.9,3.5
Suriname,3.1,,4.9,4.8,3.2
Romania,2.7,3.7,4.6,4.8,3.4
Cote d'Ivoire,2.8,2.8,4.2,4.7,3.3
Switzerland,1.8,3.8,4.7,4.7,2.6
United Kingdom,3.8,5.2,5.8,4.7,4.1
Russian Federation,2.5,3.4,4.4,4.7,3.7
Georgia,3.8,4.1,5.1,4.7,4.1
Armenia,3.5,3.9,3.9,4.7,3.8
Bahrain,2.1,2.7,3.5,4.7,2.5
Haiti,3.6,4.6,5.0,4.6,4.6
Vietnam,3.9,4.2,4.4,4.6,4.4
Lao PDR,3.3,3.8,4.5,4.5,4.0
Nicaragua,1.6,2.5,3.7,4.4,2.9
Israel,2.0,3.2,4.4,4.4,3.3
Azerbaijan,4.8,4.5,4.4,4.3,4.6
Croatia,3.1,4.4,5.1,4.3,3.7
India,3.2,3.3,3.8,4.3,3.7
Bulgaria,1.6,1.7,4.1,4.3,1.9
Uganda,4.2,3.4,3.9,4.2,4.7
South Africa,3.0,3.8,3.7,4.2,3.6
Austria,2.5,3.4,4.6,4.2,2.9
Lithuania,1.6,2.7,3.7,4.2,2.9
Denmark,2.5,3.1,3.6,4.1,2.9
Nepal,3.8,3.2,2.9,4.1,4.0
Jordan,2.8,2.6,3.6,4.1,3.0
Australia,2.7,4.5,5.3,4.1,3.5
Italy,2.2,3.5,4.0,4.1,2.8
Poland,1.9,3.0,3.9,4.0,2.7
France,2.3,3.6,3.9,4.0,2.9
Tanzania,3.0,2.4,3.8,4.0,3.5
Czech Republic,2.0,3.2,3.7,4.0,2.6
Mexico,1.7,2.4,3.1,3.9,2.6
Finland,2.0,2.8,3.5,3.9,3.1
Mongolia,3.4,4.2,4.6,3.9,3.7
Mauritius,2.9,,,3.9,3.0
Uzbekistan,3.2,3.2,3.9,3.9,3.5
Estonia,1.5,2.4,4.1,3.9,2.6
"Hong Kong SAR, China",1.1,2.1,1.5,3.9,1.4
Cambodia,2.3,2.8,3.2,3.9,3.3
Tajikistan,3.8,3.3,3.5,3.8,4.0
Dominican Republic,1.7,3.1,2.8,3.8,2.7
Malawi,3.8,3.6,3.9,3.7,3.7
Portugal,2.8,3.2,3.8,3.7,3.1
Moldova,2.4,2.7,3.2,3.7,2.6
Myanmar,2.8,2.8,2.0,3.7,3.0
Hungary,1.6,2.8,3.5,3.7,2.3
Sweden,2.0,3.1,3.6,3.6,2.6
Greece,0.9,2.4,3.2,3.6,1.5
Malta,1.0,1.9,3.1,3.6,1.7
Kenya,4.5,4.1,4.9,3.6,4.1
Afghanistan,5.6,3.8,5.3,3.6,4.8
Central African Republic,2.9,3.7,3.9,3.5,3.6
Canada,2.2,3.2,3.7,3.5,2.7
Rwanda,2.5,3.4,3.5,3.5,3.7
Belgium,1.7,2.8,3.4,3.5,2.2
Latvia,1.5,2.3,3.7,3.5,2.6
Kazakhstan,2.9,2.5,3.2,3.5,3.0
Zambia,2.4,2.9,3.3,3.5,3.3
"Congo, Dem. Rep.",3.0,3.2,3.3,3.5,3.6
Pakistan,2.2,2.8,3.6,3.5,2.8
Nigeria,2.5,3.4,4.2,3.4,3.5
Chile,2.0,2.6,3.2,3.4,2.6
Oman,3.7,2.8,3.5,3.4,3.4
Colombia,1.6,-0.1,2.8,3.4,1.8
Zimbabwe,2.5,3.0,3.4,3.4,3.1
"Egypt, Arab Rep.",3.5,3.1,3.4,3.3,3.4
Togo,2.1,2.0,2.3,3.3,2.6
Cuba,0.9,2.2,2.7,3.3,1.4
Luxembourg,2.0,2.9,3.2,3.2,2.4
Germany,1.9,3.0,3.2,3.2,2.3
Benin,1.3,2.1,2.3,3.2,2.5
Cabo Verde,2.6,,,3.2,2.8
Lesotho,3.5,2.8,2.7,3.2,3.4
"Yemen, Rep.",3.3,2.2,3.4,3.1,3.3
Qatar,2.4,3.0,3.1,3.1,2.9
Burundi,2.4,3.2,3.7,3.1,3.3
Kyrgyz Republic,2.9,3.2,3.0,3.1,3.2
Namibia,2.0,2.2,3.4,3.1,2.8
Syrian Arab Republic,1.3,1.8,2.3,2.9,1.7
"Iran, Islamic Rep.",3.5,2.7,3.0,2.9,3.0
Brazil,1.8,2.2,2.3,2.9,2.1
China,2.9,3.1,2.7,2.8,3.1
Saudi Arabia,2.0,2.3,2.8,2.8,2.9
Iceland,1.9,,3.3,2.8,2.5
Algeria,2.5,2.1,2.1,2.8,2.3
United Arab Emirates,1.7,1.2,2.2,2.8,1.9
Tunisia,1.7,2.0,1.9,2.7,1.9
Ethiopia,2.8,2.5,2.4,2.7,2.7
Turkey,1.6,1.6,2.1,2.6,1.9
Angola,2.8,3.4,3.4,2.6,2.9
Ecuador,2.0,,2.5,2.6,2.2
Spain,1.2,2.1,2.6,2.6,1.8
Belarus,1.8,2.2,2.7,2.6,2.8
Kuwait,2.7,4.1,3.1,2.5,3.0
Netherlands,1.5,2.2,2.2,2.5,1.9
Turkmenistan,1.9,2.3,2.1,2.4,2.4
"Korea, Rep.",0.9,1.4,2.0,2.4,1.4
"Gambia, The",0.5,1.5,1.6,2.3,1.4
Iraq,2.1,1.8,2.0,2.2,2.0
Botswana,1.8,2.3,2.7,2.2,2.2
Paraguay,1.1,1.5,1.6,2.1,1.4
Morocco,1.5,1.9,1.9,2.0,1.9
Uruguay,-0.3,0.5,1.7,2.0,0.4
Mali,0.7,1.0,1.5,1.9,1.5
Niger,0.2,0.6,1.3,1.8,1.4
Sudan,0.6,1.1,1.6,1.8,1.6
Japan,1.1,1.5,2.2,1.8,1.3
"Taiwan, China",1.1,2.1,2.0,1.8,1.3
Mozambique,2.1,1.2,1.7,1.7,1.8
Senegal,0.9,1.2,1.3,1.7,1.5
South Sudan,0.9,0.6,2.4,1.6,1.9
Eritrea,3.6,2.6,3.0,1.6,2.6
Peru,1.5,0.8,1.5,1.5,1.5
Argentina,0.2,0.5,1.1,1.5,0.6
Burkina Faso,0.6,1.3,1.4,1.5,1.5
Belize,1.4,2.1,2.8,1.5,2.2
Bolivia,1.3,1.1,1.0,1.2,1.5
Singapore,1.9,,1.3,1.1,1.9
Chad,0.0,1.2,1.0,1.1,1.2
Somalia,0.9,0.9,1.6,1.0,1.1
Mauritania,0.1,0.2,0.5,0.5,0.6
Maldives,-0.6,,,-0.3,0.7
